"en","Comment"
"○O
Begin prison
End Zell & co in prison conversation
Rinoa is taken away
End first torture
Mumba appears
Seifer returns
Retrieve weapon
Begin prison escape
Open torture room door
Meet up with Squall
Assign carnation to deity",""
"○P
Split up with Irvine
Squall team reaches top
Irvine team reaches bottom
Pressed switch
Defeated Guard robot
Watched prison movie
Escaped from prison



○Q",""
"○R
End missile base
End return to Garden event
End gate 2 event
End gate 5 event
Met Fujin & Raijin
Able to go to 2F
Met Xu
Met Xu 2
Go to MD level
Avoid missiles
○S",""
"○T
Party of 3 goes down
Reached deck
Garden moves
End battle with Master
Crash into FH
Called forward
Agreed on order
Met up with members
Talk with Dr. Kadowaki
Heard a ship has arrived
○U",""
"○V
Squall awakes(after moving)
Ellone goes back
End recollection 1







○W",""
"○X
Selphie is sad
FH report
Squall is the leader
Concert rehearsal
End rehearsal
Wake up in room
Festival starts
Festival ends
Called upon
Announced to the academy
○Y",""
"○Z
Garden up and running again
End Fujin & Raijin event
Selphie says she wants to go to {Trabia}
Clear Trabia






○A",""
"○B
{Trabia} Canyon
End Garden vs Garden
At Edea's house
End Squall announcement
Edea's house in the past
Back from Edea's ship
Secretly decided
Find Edea's ship
Last event
Defeated {Esthar} robot
○C",""
"○D
Last Seifer
End Seifer battle
DISC 3 save
Begin time compression





Before the rush
○E",""
"
Beginning
Laguna's complaint
Event before the filming
Dragon appears
The 3 meet up




No Ward
End canyon",""
"










Next page",""
"○F
Before encountering Selphie
Deny Selphie
Showing Selphie around
End Selphie tour",""
"○G
Just arrived
Break from Quistis",""
"○H
Just arrived
Just separated",""
"Sorry to sadden you
Listen to story
Met Seifer
Listened to announcement",""
"○I
Right after it ended
Shown by Selphie
Changed into SeeD uniform
Party half over",""
"○J
Alone in SeeD uniform
Got changed
Met up with Quistis",""
"○K
Together with Rinoa
Alone",""
"○L
Squall
Zell
Selphie
Quistis
Rinoa
Irvine
Edea
Laguna
Kyros
Ward
Seifer",""
"○M
Squall
Zell
Selphie
Quistis
Rinoa
Irvine
Edea
Laguna
Kyros
Ward
Seifer",""
"○N
Squall
Zell
Selphie
Quistis
Rinoa
Irvine
Edea
Laguna
Kyros
Ward
Seifer",""
"○O
6 people
Before, 3 people
Edea
Seifer
Erase all members",""
"○P
Passage towards the stairs
Passage left
Passage right
Passage 1a
Passage 2a
Inside big room 1
Inside big room 2
Inside big room 3
Inside big room 4
Inside big room 5
○Q",""
"○R
Control tower entrance
Arm control 1
Arm part 1






Bic In 6
○S",""
"○T
10
13
17
110
112
20
22
26
28
29
213",""
"○U
Torture room
Torture room passage
Torture room passage further down
Torture room 1a
Solitary cell
Escape door
Top floor 1
Top floor 2
Parking lot
Prison tower entrance
○V",""
"○W
Hall 1 center
Hall 2 left
Hall 3 right
Hall 4 front
Hall 5 back
Hall 6 event
Hall 7 directory
Hall 8 Event 2 Cid
Ballroom
Balcony
Next page",""
"○X
Gate 1 front gate
Gate 2 roadside trees
Gate 4 clock
Gate 5 entrance
Gate 6 card reader
Hallway 1
Hallway 2
Hallway 3
Hallway 4
Hallway 22
Next page",""
"○Y
Road 1 to cafeteria
Road 2 to parking lot
Road 3 to front gate
Road 4 to infirmary
Road 5 to dorm
Road 6 to infirmary 2
Road 7 to library
Infirmary beginning
Inside infirmary
Infirmary event up
Next page",""
"○Z
Big room 11 Living room
Big room 14 Bedroom
Small room 21
Room 17 Living room(night)
Room 15 Bedroom(night)
Room 22 Small room(night)
Monster 3 you know the one
Parking lot
Secret Area 1
Secret Area 2 Up
Next page",""
"○A
Monster 1 Entrance
Monster 2 Left
Monster 4 Right
Monster 5 ?
Monster 6 Event
Headmaster 1 Entrance
Headmaster 2 Room
Headmaster 5 Room after modification
Headmaster 7 Cockpit
Headmaster 8 During modification
○Next page",""
"○B
Hall 1b
Hall 6b
Library 1a
Deck 4
Deck 7
Quad 1a
Quad 3a
Cafeteria 1a
Deck 3
Deck 5
Next page",""
"○C
Cockpit 1
Cockpit 3
Exit 1

Guest room 2
Hangar 1
Hangar 2
Passage 1
Passage 2
Passage 3
○D",""
"○E
Airlock 1
Airlock 2
Airlock 3
Hatch 1
Hatch 2





○F",""
"○G
Airlock 2
Exit 2
Seat 1
Seat 3
Seat 4
Hangar 11
Passage 11
Passage 21
Passage 31
Cockpit 2(For check)
○H",""
"










",""
"○I
Air rush 1
Air rush 2
Air rush 3
Entrance 1 (up)
Entrance 2 (middle)
Entrance 3 (down)
Entrance 4 (down)
Pilot seat 1
Pilot seat 2
Pilot seat 3
○J",""
"○K
Entrance 6
Passage 12
Passage 22
Passage 32
Passage 42
Passage 6
Passage 7
Passage 8
Passage 9

○L",""
"○M
Inner floor (up)
Inner floor (middle 1)
Inner floor (middle 2)
Inner floor (middle 3)
Inner floor (down)
Adel 1
Adel 2
Adel 3
Adel 4
Adel 5
○N",""
"Squall
Zell",""
"○O
Canyon 1
Canyon 2
Canyon 3
Canyon 4
Canyon 5




Laguna11
○P",""
"【Save Point】
 Access the Menu and select
[Save] to save your game.",""
"○R
DISC 1
DISC 2
DISC 3
DISC 4
○S",""
"○T
0 Complete Garden view
1 Quistis introduction
2 Zell introduction
3 Land in {Dollet}
4 Selphie introduction
5 {Dollet} communication tower
6 Crab robot destroys car
7 {Dollet} withdrawl
8 Rinoa introduction
9 Party
○Next page",""
"○U
10 Train disconnect 1
11 Train disconnect 2
12 To {Timber} TV Station
13 {Timber} broadcast
14 G-Garden
15 Irvine introduction
16 {Galbadia} capital
17 Sorceress walks out
18 Sorceress to stage
19 Death of the president
○Next page",""
"○V
20 Gargoyle flies over
21 Parade begins
22 Parade
23 Parade with Seifer
24 Parade, Clock
25 Gateway closes
26 Irvine shoots
27 Car below the plinth
28 Encounter sorceress on plinth
29 Defeated by the sorceress
30 Opening",""
"○W
0 Prison arm
1 Desert prison
2 Begin prison sinking
3 End prison sinking
4 Missile launch {Trabia}
5 Missile launch {Balamb}
6 Missile base explosion
7 Missile base explosion P
8 Missile in flight 0
9 Missile in flight 1
Next page",""
"○X
10 Garden moves
11 Garden modifies
12 Missiles safe
13 Missiles out
14 Garden out of control
15 Garden out of control R
16 Garden in sea 1
17 Garden in sea 2
18 Garden in sea 3
19 Leave blanka boat
Next page",""
"○Y
20 Garden crashes
21 Complete view of FH
22 Laguna watching the moon
23 Squall watching the moon
24 Concert
25 Scoop image
26 Garden vs Garden 0
27 Garden vs Garden 1
28 Garden vs Garden 2
29 Garden vs Garden 3
Next page",""
"○Z
30 Garden vs Garden 4
31 Garden vs Garden 5
32 Garden vs Garden 6
33 Garden vs Garden 7
34 Garden vs Garden 8
35 Garden vs Garden 9
36 Garden vs Garden 11
37 Garden vs Garden 12


Next page",""
"○A
0 {Esthar} wall
1 {Esthar} first time seeing the city
2 {Esthar} to WM
3 {Esthar} from WM
4 {Esthar} to president's room
5 {Esthar} from president's room
6 {Esthar} elevator
7 High-speed shooter machine
8 Capsule outside
9 Retrieve capsule
Next page",""
"○B
10 Laguna moon
11 Squall moon
12 Introduce Crystal Pillar
13 Standby at Crystal Pillar placement
14 Moon pillar
15 Health
16 Rinoa pushed by monster
17 Escape pod launch
18 Rinoa loses consciousness 0
19 Rinoa loses consciousness 1
Next page",""
"○C
20 Rinoa loses consciousness 2
21 Rinoa looks at necklace
22 Squall calls out Rinoa
23 Rinoa and Squall in space
24 Spaceship
25 Find spaceship
26 Spaceship hatch
27 Rinoa's seal is broken
28 Spaceship fires
29 Spaceship charges
Next page",""
"○D
30 Get hold of Adel
31 Adel and Rinoa as one








Next page",""
"○E
0 Commence time compression
1 Ultimecia Castle
2 Ending 1
3 Ending 2
4 Ending 3





Next page",""
"○F
Lose
Win
Open(out)
Combat
Run
Battle
Funsui
End
Antenna
Waiting can be used somewhere
○G",""
"○H
Ante
Wind
Crab
Battle2
Friend2(Out)
Fuan2
March2
Land
Julia
Waltz
○I",""
"○J
Friend
Dungeon
Pianosolo
Parade
March1
Secret
Garden
Fuan
Polka2
Anthem
○K",""
"○L
FlangChorus
DubChorus
SoloChorus
FemaleChorus
Chorus
M7F5
Sorceress
Reet
Soyo
Rouka
○M",""
"○N
Night
Field
Guitar
Concert
Sea
Silent
Resistance
Kaiso
Horizon
Master
○O",""
"○P
Battle2
Rinoa
Trabia
Horizon2
Truth
Prison
Galbadia Garden
Timber
Galbadia
Pinchi
○Q",""
"○R
Scene1
Pub
Bat3
Stage
Choco
White
Majomv
Musho
Missile
Speech
○S",""
"○T
Card
Gomon
Soto
Majobat
Train
Garden2
Bossbat2
Last Dungeon
Gafly
Demo
○U",""
"○V
Spy
VoiceDeChocobo
Salt
Alien
Sekichu
Esta
Moonmv
MDmotor
Moonmv2
Fly
○W",""
"○X
Bossbat1
Rag1
Rag2
Last boss
Last white
Lasbl
Keisho
Compression


○Y",""
"#test2","79"
"{Grey}After Dollet Mission{White}
Outside the city
Inside  the house

CARD rule
Photograph 06 Pub
Photograph 07 Pub
That's all",""
"{Grey}Outside Dollet{White}
Entrance by the sea
City 1
City 2
City 3
Square 1
Entrance WM side
Harbor
Beach 1",""
"{Grey}Dollet/inside{White}
Pub 1
Pub 2
Pub 3
Hotel Lobby
Hotel Room
Minka 2
That's all",""
"“It iz nothing.
  It iz stupid.”",""
"Normal
Beat the man
Queen is here",""
"{Grey}Dollet/Mission{White}
City (Going)
City (After square 2)
Miti antenna (Going)
In antenna (Going)
{Yellow}In antenna (Back)
Miti antenna (Back)
City (Back)",""
"{Grey}City/Going{White}
Mission/OP
Beach 2 (No movie)
City Entrance 1
City 1
City 2
City 3
Square 1
Square 2",""
"{Grey}City/After square 2{White}
Square 1
City 3
City 2
City 1
City Entrance 1
Beach 2",""
"{Grey}Path/Going{White}
Path 11
 21
 51
 31
 41
 33
Exterior 11",""
"{Grey}During Tower/Going{White}
During 11
 {Grey}21 (Not used){White}
 41
 31 (Before movie)
 42 (After movie)",""
"{Grey}During Tower/Back{White}
{Yellow}During 32 (After order)
 42 (After withdrawal)
 32 (After withdrawal)
 {Grey}22 (Not used){Yellow}
 12",""
"{Grey}Path/Back{White}
{Yellow}Exterior 12
Path 34
 41
 32
 51
 61
 21
 11",""
"{Grey}City/Back{White}
{Yellow}Square 2
City 3
City 2
City 1
Beach 2 (Beat crab)
Beach 2 (Pass by crab)
{Red}Extra Path 51
BetuInfo Square 2a",""
"{Grey}Laguna/Centra{White}
LunaPan Excavation Scene
Inside LunaPan/Laguna
LunaPan Labo
Laguna Kaiso
Edea's Ship",""
"{Grey}Excavation Scene{White}
1 Start
2 Separate Paths
3 Go down the ladder
4 To LunaPan 1
5 To LunaPan 2
7 To LunaPan 3
8 To LunaPan 4
6 Dive into the sea",""
"{Grey}Inside LunaPan{White}
Exit 1  From Cd4
Path 11 Hatch
Path 21 Tilted hole
Exit 2  From Cd5
Exit 3  S-iwa/B-ana/To Cd7
Path 31 B-iwa/Dynamite
Path 5  natural cavity
Path 41 Crumbling wall
Exit 4  From Cd8
Exit 5  To   Cd6",""
"{Grey}LunaPan Labo{White}
Moor (Lag)
Labo (Lag)
View 1 (Lag)
{Yellow}Laguna/Scenario{White}
Labo (Squ)
View 1 (Squ)
View 2 (Gate falls)
{Grey}To WM (Squ)
To WM (Gate falls){White}",""
"{Grey}LunaPan Lab Scenario{White}
Moor First battle
Moor After 1'st battle
Labo Odine iru
View Get information
Labo Odine inai
Moor Before 2'nd battle
Moor After  2'nd battle
View Escape",""
"Mumba is saved
Mumba cannot be saved",""
"{Grey}Kaiso Laguna{White}
Magic /Labo
Seal  /View
Magic /Labo 2
LunaPan Labo /View
LunaPan Labo /Labo
Seal /View 2
Seal /Pod",""
"{Grey}Edea's Ship{White}
Front1(Middle)
Front2
Back1
Cont1
Room1
{Grey}Day and night map{White}
WM near the ship",""
"{Grey}Ship (For day/night){White}
{Grey}Front3 (Middle) (Day)
Front4 (Day)
Back2 (Day)
Cont2 (Day)
Room2 (Night){White}",""
"{Grey}Big cat{White}
Squ Switch
Lag Switch
Squall by himself
Input GF name
From Laguna to the present
Item full
Let's do battle!
Card & TIPS",""
"{Grey}Decline{White}
1 Galbadian soldier
Sabotemda
Go TEST1
Biggs & Wedge
Crab mecha",""
"Give me more GF
{Grey}That's enough",""
"Give me the leftover GF
{Grey}That's enough",""
"You won",""
"You ran away",""
"{Grey}Squ Switch{White}
0 Everybody disappear
1 Zell
2 Irvine
3 Quistis
4 Rinoa
5 Selphie
6 Seifer
7 Edea
Squall by himself",""
"{Grey}Lag Switch{White}
Laguna by himself
Lag + Kyro
Lag + Kyro + War
Menu junction",""
"{Grey}Timber{White}
City (1~5)
City (6~8 and back)
Agit
Inside the house
TV station
RATI plan
{Yellow}Follow the plan",""
"{Grey}City 1~5{White}
Entrance
City 1
City 2
City 3
{Yellow}City 4(Start){White}
City 51
City 52",""
"Normal
Item Get!",""
"{Grey}City 6~8 back{White}
City 6
City 7
city 8
Back way 1
Back way 2",""
"{Grey}Base{White}
1 Entrance
2 Meeting room
3 Waiting room
4 Rinoa's room
5 Operation",""
"{Grey}Inside the house{White}
Hotel lobby
Hotel room
Minka 1
Minka 21
Minka 22
Pub",""
"{Grey}TV station{White}
GaitoTV
TV screen 1
TV screen 2
TV station exterior
Studio 1
Studio 21
Studio 22",""
"{Grey}Abduction plan{White}
Roof 1
Roof 2
Roof 3
Connection 1
Connection 2
President's car",""
"{Grey}Follow the plan{White}
1 Arrival ~ Agit train
{Grey}2 Rati Plan{White}
3 Agit train again
4 GO to TV station ~ City
5 Gaito TV ~ Studio
6 Running away TV station
7 GO G-Garden



",""
"{Grey}1 Arrival~Agit train{White}
Arriving /City 4
On the train /City 3
Introductions /Agit 1
Saikai /Rinoa's room
Introductions 2 /Agit 1
Meeting /Agit 2
After Meeting /Agit 2
Before Pati Plan  /Agit 1",""
"{Grey}2 Rati Plan{White}
Roof 1
Roof 2
Roof 3
1'st President's car
Connector 1
2'nd President's car
Connector 2",""
"{Grey}3 Agit train again{White}
Before Battle /Agit 1
President Battle /president's car
After Miss /Agit 2
After doani41 /Agit 2
To Forest Owls /Black BG
Ready to go /Agit 1




",""
"{Grey}4 GO to TV station ~ City{White}
GO TV station /City 3
{Grey}Battle /City 6
Events pub /Pub
Events back way /Back way{White}






",""
"{Grey}5 Gaito TV ~ Studio{White}
Rinoa goes /Tv 1
Begin TV Screen /Visi 1
President TV /Visi 2
End TV Screen /Tv1
Front of TV station /Tvout 1
Go TV station Studio 1 /Studio 1
Edea appears /Studio 21
Rinoa shows up /Studio 22


",""
"{Grey}Who should I take?{White}
Zell
Selphie",""
"{Grey}Choose party{White}
Zell + Selphie
Zell + Rinoa
Quistis + Zell
Selphie + Rinoa
Selphie + Quistis
Rinoa + Quistis",""
"{Grey}6 Escape TV station{White}
Escape 1 TV on the streets
Escape 2 Back way 2
Escape 3 Pub
Escape 4 City 52
Escape 5 City 51
Escape 6 Minka 21A(Seifer)
Continue escape 6 Minka 22
Escape 7 Minka 21B(escaping)
Escape 8 Watts City 51
Escape 9 Zone  City 52
",""
"{Grey}7 Depart for G Garden{White}
Escape train /City 8
Escape foot  /Gate 1
After leaving /Gate 1

Ride train Gal /City 3
Ride train Bal /City 4
Ride train desert /City 6
Ride train Dol /City 8
 

",""
"Last train flag OFF
Last train flag ON",""
"{Grey}Experiment with dog
Input name!!
{Yellow}Change screen color test{White}
SEP continuation
Test test
Change character color test
Innkeeper
{Red}Code test",""
"Continuation command exists
No command",""
"Es {Esthar}
Bal {Balamb}
Dol {Dollet}
Ti {Timber}
Tra {Trabia}
Cen {Centra}
Gal {Galbadia}
Fi {Horizon}
",""
"{Grey}Turn black{White}",""
"{Grey}Undo{White}",""
"{Grey}Experiment with dog{White}
Beginner
Novice
Advanced",""
"{Grey}Biggs{White}
Reset all
No battle
Scenario flag
Individual flag
To Black BG
Change the music
Turn off music
PHS on off",""
"This is song number {Var00}!",""
"Turn PHS on
Turn PHS off",""
"{Grey}Scenario flag 1{White}
Scenario flag clear
Square 2 ended
Ahead of Seifer 31
Begin withdrawal
End of Dollet mission
Showed Selphie around
{Yellow}Advance to flag 2",""
"{Grey}Scenario flag 2{White}
Arrived in Timber
Begin plan to enter the TV station
Edea appears at the TV station
Regarding going to G Garden
Arrived in G Garden
Arrived in capital of Galbadia
Balamb Garden begins to move
{Yellow}Advance to flag 3",""
"{Grey}Scenario flag 3{White}
Garden festival in F.H. ends
End of Raijin/Fujin event
Flashback at Trabia Garden
End of Garden vs. Garden
Find Edea's ship
End of Edea's ship
To ending
{Yellow}Advance to flag 3",""
"{Grey}Individual Flag 1{White}
Square 1 Forced breakthrough
Saw picture 1
Received treasure 1/Square 1
Saw picture 2
Received treasure 2/City 2
Saw picture 3
Received treasure 3/City 1
Beat the Master
Beat the crab
Let the crab pass by
{Yellow}Advance to flag 2",""
"{Grey}Individual flag 2{White}
Wrong password
End of first base scene
End of reunion with Rinoa
End of explanation of abduction plan
Before fighting the fake president
Go fight the fake president
Abduction plan failed
During northern country
Letter from Cid
Go to the TV station
{Yellow}Advance to flag 3",""
"{Grey}Individual flag 3{White}
Good bye to the base train
Escape 1 TV on the streets
Escape 2 Back way 2
Escape 3 Pub
Escape 4 City 52
Escape 5 City 51
Escape 6 Minka 21A
Escape 7 Minka 21B
Escape 8 Watts
Escape 9 Zone
{Yellow}Advance to flag 4",""
"{Grey}Individual flag 4{White}
End of battle at the pub
Failed 10 times or more in the abduction plan
First battle at the moor
Information at the exterior of LunaPan Lab
Nobody is at the lab
Second battle at the moor
Escape from LunaPan
End of Edea's ship
End of all the mechanisms in LunaPan

{Yellow}Advance to flag 4",""
"This is a scroll test
“Hold down the right key to
 keep scrolling right.
 Let go to return to the original position
 Push the square button to quit.
 Push the circle button to
 start this message.”",""
"“Hold down the right key to
 keep scrolling right.
 Let go to return to the original position
 Push the square button to quit.",""
"{WhiteBlink}This is a test{White}
“End of test.”",""
"This is a password test
“    {x0525} 1
 {x0527} 3  {x0526}  2
     {x0524} 4
  Do you understand what to do now...?”",""
"“   {x0535} 1
  {x0537} 3  {x0536} 2
    {x0534} 4    ”",""
"“Ok... {Red}3124{White}
  Follow the following instructions and try
  inputing.  Start this message by pushing the
  circle button.”",""
